Document,Label
I was expecting a high-quality product but it turned out to be broken. I was expecting a high-quality product but it turned out to be broken. It seems like the product has a broken issue. The item I received was broken. I'm not happy with the quality. The item I received was broken. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be broken. I was expecting a high-quality product but it turned out to be broken. I was expecting a high-quality product but it turned out to be broken. I was expecting a high-quality product but it turned out to be broken. I'm just adding this sentence for noise.,Product
It seems like the product has a malfunction issue. I was expecting a high-quality product but it turned out to be malfunction. I was expecting a high-quality product but it turned out to be malfunction. It seems like the product has a malfunction issue. The item I received was malfunction. I'm not happy with the quality. The item I received was malfunction. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be malfunction. It seems like the product has a malfunction issue. The item I received was malfunction. I'm not happy with the quality. I read this on a forum.,Product
"The item I received was defective. I'm not happy with the quality. It seems like the product has a defective issue. The item I received was defective. I'm not happy with the quality. It seems like the product has a defective issue. The item I received was defective. I'm not happy with the quality. It seems like the product has a defective issue. It seems like the product has a defective issue. The item I received was defective. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be defective. It seems like the product has a defective issue. By the way, my favorite color is blue.",Product
"I was expecting a high-quality product but it turned out to be malfunction. I was expecting a high-quality product but it turned out to be malfunction. The item I received was malfunction. I'm not happy with the quality. The item I received was malfunction. I'm not happy with the quality. It seems like the product has a malfunction issue. The item I received was malfunction. I'm not happy with the quality. The item I received was malfunction. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be malfunction. It seems like the product has a malfunction issue. By the way, my favorite color is blue.",Product
I was expecting a high-quality product but it turned out to be defective. The item I received was defective. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be defective. I was expecting a high-quality product but it turned out to be defective. The item I received was defective. I'm not happy with the quality. The item I received was defective. I'm not happy with the quality. It seems like the product has a defective issue. It seems like the product has a defective issue. I was expecting a high-quality product but it turned out to be defective. I'm just adding this sentence for noise.,Product
It seems like the product has a defective issue. It seems like the product has a defective issue. It seems like the product has a defective issue. The item I received was defective. I'm not happy with the quality. The item I received was defective. I'm not happy with the quality. The item I received was defective. I'm not happy with the quality. It seems like the product has a defective issue. It seems like the product has a defective issue. The item I received was defective. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be defective. I'm just adding this sentence for noise.,Product
I was expecting a high-quality product but it turned out to be defective. It seems like the product has a defective issue. The item I received was defective. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be defective. The item I received was defective. I'm not happy with the quality. The item I received was defective. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be defective. The item I received was defective. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be defective. I read this on a forum.,Product
I was expecting a high-quality product but it turned out to be broken. The item I received was broken. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be broken. It seems like the product has a broken issue. I was expecting a high-quality product but it turned out to be broken. It seems like the product has a broken issue. The item I received was broken. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be broken. It seems like the product has a broken issue. Did you watch the game last night?,Product
I was expecting a high-quality product but it turned out to be defective. The item I received was defective. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be defective. I was expecting a high-quality product but it turned out to be defective. I was expecting a high-quality product but it turned out to be defective. It seems like the product has a defective issue. It seems like the product has a defective issue. It seems like the product has a defective issue. I was expecting a high-quality product but it turned out to be defective. I hope the weather is good tomorrow.,Product
The item I received was defective. I'm not happy with the quality. I was expecting a high-quality product but it turned out to be defective. It seems like the product has a defective issue. It seems like the product has a defective issue. The item I received was defective. I'm not happy with the quality. The item I received was defective. I'm not happy with the quality. The item I received was defective. I'm not happy with the quality. The item I received was defective. I'm not happy with the quality. It seems like the product has a defective issue. I hope the weather is good tomorrow.,Product
